t,S,Price
0.010958904109589041,105.35,0.02
0.030136986301369864,105.35,0.02
0.12602739726027398,105.35,0.03
0.20263013698630136,105.35,0.04
0.27934246575342464,105.35,0.09
0.45194520547945205,105.35,0.23
0.5286575342465754,105.35,0.29
0.7971506849315068,105.35,0.61
1.0465753424657533,105.35,1.16
2.043835616438356,105.35,4.5
0.00821917808219178,102.71,0.03
0.0273972602739726,102.71,0.01
0.1232876712328767,102.71,0.04
0.19989041095890409,102.71,0.06
0.2766027397260274,102.71,0.11
0.4492054794520548,102.71,0.23
0.5259178082191781,102.71,0.29
0.7944109589041095,102.71,0.64
1.0438356164383562,102.71,1.07
2.041095890410959,102.71,4.24
0.005479452054794521,100.7,0.02
0.024657534246575342,100.7,0.01
0.12054794520547946,100.7,0.04
0.19715068493150684,100.7,0.07
0.27386301369863014,100.7,0.12
0.44646575342465755,100.7,0.26
0.5231780821917809,100.7,0.29
0.7916712328767123,100.7,0.53
1.0410958904109588,100.7,1.04
2.0383561643835617,100.7,4.1
0.0027397260273972603,96.48,0.01
0.021917808219178082,96.48,0.01
0.1178082191780822,96.48,0.04
0.19441095890410956,96.48,0.06
0.27112328767123284,96.48,0.11
0.4437260273972603,96.48,0.21
0.5204383561643836,96.48,0.27
0.788931506849315,96.48,0.54
1.0383561643835617,96.48,0.88
2.0356164383561643,96.48,3.5
0.0,96.96,0.12
0.019178082191780823,96.96,0.01
0.11506849315068493,96.96,0.02
0.1916712328767123,96.96,0.06
0.2683835616438356,96.96,0.1
0.44098630136986305,96.96,0.21
0.5176986301369864,96.96,0.25
0.7861917808219178,96.96,0.45
1.0356164383561643,96.96,0.86
2.032876712328767,96.96,3.7
0.010958904109589041,98.53,0.01
0.10684931506849316,98.53,0.02
0.18345205479452054,98.53,0.04
0.26016438356164384,98.53,0.1
0.43276712328767125,98.53,0.2
0.5094794520547945,98.53,0.25
0.777972602739726,98.53,0.51
1.0273972602739727,98.53,0.92
2.0246575342465754,98.53,3.8
0.00821917808219178,99.96,0.01
0.10410958904109589,99.96,0.0
0.18071232876712326,99.96,0.05
0.25742465753424654,99.96,0.08
0.430027397260274,99.96,0.17
0.5067397260273973,99.96,0.23
0.7752328767123287,99.96,0.49
1.0246575342465754,99.96,0.89
2.021917808219178,99.96,4.0
0.005479452054794521,97.41,0.01
0.10136986301369863,97.41,0.0
0.177972602739726,97.41,0.05
0.2546849315068493,97.41,0.09
